player_id,appearances,starts_estimated,goals,assists,shots,yellow_cards,red_cards,pace,shooting,passing,defending,physical,rating_source
20260050,0,0,0,0,0,0,0,60,49,62,54,52,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20240330,0,0,0,0,0,0,0,62,49,62,54,56,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250044,1,1,0,0,0,0,0,62,49,63,54,54,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20230108,14,12,0,1,10,0,0,64,51,73,59,58,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20150050,15,13,0,3,4,3,0,65,50,80,59,56,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20180088,14,11,5,3,37,3,0,64,68,79,59,56,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20230071,8,0,0,1,3,1,0,62,50,69,56,55,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20180296,11,8,0,1,9,0,0,63,51,71,58,54,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20190171,14,11,1,0,12,1,0,64,54,70,59,54,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20230044,7,2,0,1,1,0,0,62,49,69,56,54,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260030,0,0,0,0,0,0,0,62,49,62,54,55,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250194,5,2,0,0,4,0,0,61,50,65,56,53,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260064,0,0,0,0,0,0,0,60,39,54,62,58,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250291,0,0,0,0,0,0,0,60,39,54,62,60,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20140143,14,14,1,1,6,3,0,62,43,62,72,63,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20260058,0,0,0,0,0,0,0,60,39,54,62,60,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250050,0,0,0,0,0,0,0,60,39,54,62,58,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20180185,9,8,0,1,8,1,0,61,40,60,68,59,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20100052,10,10,0,0,0,3,0,59,39,58,69,60,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20230250,8,4,1,0,2,2,0,62,42,57,67,62,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20240239,0,0,0,0,0,0,0,60,39,54,62,59,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20130142,1,1,0,0,1,0,0,58,39,54,63,59,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20240274,0,0,0,0,0,0,0,60,39,54,62,57,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20160157,3,1,0,0,0,0,0,59,39,55,64,60,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250281,0,0,0,0,0,0,0,60,39,54,62,59,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250159,4,2,0,0,0,3,0,61,39,55,64,61,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20220077,0,0,0,0,0,0,0,60,39,54,62,61,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20220174,12,12,2,0,6,5,0,61,45,59,70,64,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20230029,12,8,0,0,2,0,0,63,39,58,70,59,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250154,0,0,0,0,0,0,0,60,39,54,62,60,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250079,0,0,0,0,0,0,0,60,39,54,62,58,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250226,0,0,0,0,0,0,0,60,39,54,62,61,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
20250077,0,0,0,0,0,0,0,64,60,52,42,58,DERIVED_FROM_KLEAGUE_2026_PUBLIC_RECORDS
